user_id;beta0;beta1;beta2;n;beta_list
u:-4V;-2.192217457672341;0.028131792079423505;0.08669706380655418;215;[-2.192217457672341, 0.028131792079423505, 0.08669706380655418]
u:-7F;-6.414170102448061;0.2218939153225197;-0.2091138503677391;290;[-6.414170102448061, 0.2218939153225197, -0.2091138503677391]
u:-AK;0.4541893209458904;-0.04359935845795758;-0.31562931903046226;383;[0.4541893209458904, -0.04359935845795758, -0.31562931903046226]
u:-DF;1.6101184509140969;-0.11786149667937168;-0.3041960376720071;559;[1.6101184509140969, -0.11786149667937168, -0.3041960376720071]
u:-Md;-0.9843208803767082;-0.0487484751005196;0.3028397271423508;450;[-0.9843208803767082, -0.0487484751005196, 0.3028397271423508]
u:-NR;-1.6578125611139245;-0.13621707485206633;0.4660739770448753;659;[-1.6578125611139245, -0.13621707485206633, 0.4660739770448753]
u:-TV;0.6316841190127531;-0.0814283141877306;-0.13646932779783466;235;[0.6316841190127531, -0.0814283141877306, -0.13646932779783466]
u:-am;-0.9585275805472131;-0.015456208510869533;0.07004266803144935;850;[-0.9585275805472131, -0.015456208510869533, 0.07004266803144935]
u:-b;-1.5573627105847987;0.012735819561339547;0.0036969805488756696;2681;[-1.5573627105847987, 0.012735819561339547, 0.0036969805488756696]
u:-f2;-2.2647878959602004;-0.05825515812635484;0.16860513221425488;339;[-2.2647878959602004, -0.05825515812635484, 0.16860513221425488]
u:-fk;-2.059624987672363;-0.14479131044896243;-0.07022104748228207;1107;[-2.059624987672363, -0.14479131044896243, -0.07022104748228207]
u:-k;-4.21014045822556;0.10918429077464425;0.19579959976918124;3762;[-4.21014045822556, 0.10918429077464425, 0.19579959976918124]
u:-mt;-1.7871103034205258;-0.02744454597528843;0.15293676427006397;230;[-1.7871103034205258, -0.02744454597528843, 0.15293676427006397]
u:-t7;1.7618890520464008;-0.2634853947011965;-0.7560089287978589;318;[1.7618890520464008, -0.2634853947011965, -0.7560089287978589]
u:0Nx;0.21690750483139454;0.002241821890993822;-0.47051918530442693;202;[0.21690750483139454, 0.002241821890993822, -0.47051918530442693]
u:0Q_;-0.11055101187003846;-0.04940669993217639;0.07769268221015344;718;[-0.11055101187003846, -0.04940669993217639, 0.07769268221015344]
u:0WM;-0.3330646954627845;-0.020365254763982817;0.0543378422302046;2339;[-0.3330646954627845, -0.020365254763982817, 0.0543378422302046]
u:14z;-0.11938496186076382;0.012817649443729887;-0.16562853185955687;355;[-0.11938496186076382, 0.012817649443729887, -0.16562853185955687]
u:1EF;-6.573796389627927;0.13630346110931837;0.17532261549934272;990;[-6.573796389627927, 0.13630346110931837, 0.17532261549934272]
u:1MS;-0.9051295592578726;-0.06243224825889549;-0.42196666351131806;384;[-0.9051295592578726, -0.06243224825889549, -0.42196666351131806]
u:1Qq;1.3643894564101866;-0.14396762964011317;-0.48515895344472937;265;[1.3643894564101866, -0.14396762964011317, -0.48515895344472937]
u:1Ub;0.7557769770724071;-0.08158412836094936;-0.9085807552887342;288;[0.7557769770724071, -0.08158412836094936, -0.9085807552887342]
u:1Ul;-0.6046943366875858;-0.001753496914111816;0.15381332481518517;297;[-0.6046943366875858, -0.001753496914111816, 0.15381332481518517]
u:2-U;-1.6924943850234704;0.09036427653179818;0.10368258643390832;459;[-1.6924943850234704, 0.09036427653179818, 0.10368258643390832]
u:286;4.601731164574991;-0.30265363441240045;-0.5133827500994523;202;[4.601731164574991, -0.30265363441240045, -0.5133827500994523]
u:28D;-1.1517527603443432;0.015455185849234217;0.06287723487507382;874;[-1.1517527603443432, 0.015455185849234217, 0.06287723487507382]
u:2L3;-5.1975057807072504;0.24558990226689587;0.47600757204201904;375;[-5.1975057807072504, 0.24558990226689587, 0.47600757204201904]
u:2Nd;-2.380169786244702;-0.019752906447150546;0.7782681788775436;376;[-2.380169786244702, -0.019752906447150546, 0.7782681788775436]
u:2P7;-0.9107660972924345;-0.031584705055027716;-0.1956939015934841;1045;[-0.9107660972924345, -0.031584705055027716, -0.1956939015934841]
u:2R-;-2.4221211108700818;-0.06925578294441719;-0.18145774408197263;760;[-2.4221211108700818, -0.06925578294441719, -0.18145774408197263]
u:2U_;0.4254147009872469;-0.17499562991434597;-0.16093386604549245;1171;[0.4254147009872469, -0.17499562991434597, -0.16093386604549245]
u:2dt;-0.7584804617850222;-0.03096139496758581;0.2851726683255054;376;[-0.7584804617850222, -0.03096139496758581, 0.2851726683255054]
u:2m9;0.6192902761456509;-0.22593208131962086;-0.2943011282806277;821;[0.6192902761456509, -0.22593208131962086, -0.2943011282806277]
u:2mx;-0.4252870786041837;-0.04999279694396163;0.19160359236527735;1144;[-0.4252870786041837, -0.04999279694396163, 0.19160359236527735]
u:2sv;-5.673045541447626;-0.00900350098132767;0.16513357827423994;306;[-5.673045541447626, -0.00900350098132767, 0.16513357827423994]
u:2vP;-1.3273296655324138;-0.11408704675694474;0.05745022842673967;750;[-1.3273296655324138, -0.11408704675694474, 0.05745022842673967]
u:3Y_;-0.15329129910017936;-0.05910237122871519;-0.05516467674228509;496;[-0.15329129910017936, -0.05910237122871519, -0.05516467674228509]
u:3Ym;-1.0230410222553328;0.06607605074359124;-0.10849712257865879;270;[-1.0230410222553328, 0.06607605074359124, -0.10849712257865879]
u:3v0;-1.1083167841475186;-0.055695966481487336;0.46922346244439544;219;[-1.1083167841475186, -0.055695966481487336, 0.46922346244439544]
u:4Ii;0.004956354933176245;-0.00028791870797143247;-0.0005643929809926368;284;[0.004956354933176245, -0.00028791870797143247, -0.0005643929809926368]
u:4OM;-0.3360415080501915;-0.06450814581780205;-0.033435760814497145;257;[-0.3360415080501915, -0.06450814581780205, -0.033435760814497145]
u:4VF;-0.6102780534055161;0.01674855616287883;0.12979065641515702;259;[-0.6102780534055161, 0.01674855616287883, 0.12979065641515702]
u:4aG;-0.142139674616942;-0.05395430572367675;0.09675285347307366;707;[-0.142139674616942, -0.05395430572367675, 0.09675285347307366]
u:4jB;-2.4840520563195048;0.057625728361707866;0.04143542042012786;1079;[-2.4840520563195048, 0.057625728361707866, 0.04143542042012786]
u:4pP;-0.5370246671351776;-0.09051820343485238;0.12264304116835778;498;[-0.5370246671351776, -0.09051820343485238, 0.12264304116835778]
u:5Bl;-1.2796344979672702;-0.035272601481118195;0.16484171280125176;339;[-1.2796344979672702, -0.035272601481118195, 0.16484171280125176]
u:5C7;-1.051840569083938;0.029392136670667743;0.08095877692823202;231;[-1.051840569083938, 0.029392136670667743, 0.08095877692823202]
u:5_s;-1.235354535901663;-0.04256986603174012;0.07946772746110708;253;[-1.235354535901663, -0.04256986603174012, 0.07946772746110708]
u:5i9;-1.8235404217654794;0.05908060997196502;0.08882737361529128;316;[-1.8235404217654794, 0.05908060997196502, 0.08882737361529128]
u:5j2;-1.1194805425272536;-0.019233815809887825;0.4364204251923817;286;[-1.1194805425272536, -0.019233815809887825, 0.4364204251923817]
u:5nU;1.0836812765063413;-0.1659388420470248;0.03611048300407971;241;[1.0836812765063413, -0.1659388420470248, 0.03611048300407971]
u:5rg;-2.3390422156657094;0.06898945597033707;0.21392134964855114;298;[-2.3390422156657094, 0.06898945597033707, 0.21392134964855114]
u:6AU;-0.5739866437810044;-0.10656359883907901;0.27286696739166255;483;[-0.5739866437810044, -0.10656359883907901, 0.27286696739166255]
u:6L-;-0.3447618877762645;-0.02551041919218158;0.05677624604558977;703;[-0.3447618877762645, -0.02551041919218158, 0.05677624604558977]
u:6NL;-1.7310961645948266;0.105770330639464;0.07523062973727637;384;[-1.7310961645948266, 0.105770330639464, 0.07523062973727637]
u:6YP;1.5590952142764336;-0.35670505428869376;0.04442815872019923;286;[1.5590952142764336, -0.35670505428869376, 0.04442815872019923]
u:6_4;0.031791527891091964;-0.008476839950538991;-0.1334245452589157;348;[0.031791527891091964, -0.008476839950538991, -0.1334245452589157]
u:6ed;-0.8952842060379593;0.028583945902499547;0.021595230796694342;672;[-0.8952842060379593, 0.028583945902499547, 0.021595230796694342]
u:6h_;0.41784739935152626;-0.06353327301406399;-0.20927265046032306;206;[0.41784739935152626, -0.06353327301406399, -0.20927265046032306]
u:6i1;-1.3104241732964153;-0.07964023379436863;0.6213294654479482;340;[-1.3104241732964153, -0.07964023379436863, 0.6213294654479482]
u:6k7;2.132307665212509;-0.2044162450951985;-0.8912418864139108;271;[2.132307665212509, -0.2044162450951985, -0.8912418864139108]
u:6lP;-4.111153781598754;0.08796130954951321;0.7131261505201387;296;[-4.111153781598754, 0.08796130954951321, 0.7131261505201387]
u:6p7;-1.9874643905772595;0.009345071008991096;0.12163522837888294;456;[-1.9874643905772595, 0.009345071008991096, 0.12163522837888294]
u:6xf;-1.935237783040751;-0.001955234923321926;0.1641965404693645;284;[-1.935237783040751, -0.001955234923321926, 0.1641965404693645]
u:77c;-1.3855175657744125;-0.028024829278704182;0.3832968320762833;886;[-1.3855175657744125, -0.028024829278704182, 0.3832968320762833]
u:77u;-2.5601961962563466;0.0643310458328196;0.8411811991866628;649;[-2.5601961962563466, 0.0643310458328196, 0.8411811991866628]
u:77x;-0.7405720458354819;-0.00378325928753849;-0.24402630628122482;974;[-0.7405720458354819, -0.00378325928753849, -0.24402630628122482]
u:7HL;-1.6679495363858625;-0.0876513247918662;-0.2771956306273269;369;[-1.6679495363858625, -0.0876513247918662, -0.2771956306273269]
u:7Kr;-0.21596383225741791;-0.13792179135824933;0.20237073013761556;417;[-0.21596383225741791, -0.13792179135824933, 0.20237073013761556]
u:7bj;-0.03601364003711727;-0.18174266032845493;0.04536388976849687;324;[-0.03601364003711727, -0.18174266032845493, 0.04536388976849687]
u:7fK;-0.6602009750149476;-0.02436550240385396;0.14502051147900802;292;[-0.6602009750149476, -0.02436550240385396, 0.14502051147900802]
u:7my;-1.027669819437371;0.0025631548778813594;0.15465335340396896;240;[-1.027669819437371, 0.0025631548778813594, 0.15465335340396896]
u:8Hi;-0.8290891890254124;0.02697231126721688;-0.011497396095291795;286;[-0.8290891890254124, 0.02697231126721688, -0.011497396095291795]
u:8Ll;0.0716839392318443;-0.015005366972101171;0.008126905725872676;350;[0.0716839392318443, -0.015005366972101171, 0.008126905725872676]
u:8br;-3.1840312433796227;0.19296365399098228;-0.13516133191254232;508;[-3.1840312433796227, 0.19296365399098228, -0.13516133191254232]
u:8nF;0.059771647309006914;-0.012695486634896985;-0.33672427043267594;225;[0.059771647309006914, -0.012695486634896985, -0.33672427043267594]
u:9HK;0.5418164711526454;-0.13890682032577423;-0.05266059307072139;285;[0.5418164711526454, -0.13890682032577423, -0.05266059307072139]
u:9Iu;-1.1036594075556743;0.029363882252566094;-0.02300175104707894;864;[-1.1036594075556743, 0.029363882252566094, -0.02300175104707894]
u:9JP;-0.782291064446665;-0.12606245475637876;-0.43524857971953257;1621;[-0.782291064446665, -0.12606245475637876, -0.43524857971953257]
u:9Ua;0.06713374254500282;-0.025230876219138956;-0.019284233920021883;274;[0.06713374254500282, -0.025230876219138956, -0.019284233920021883]
u:9_H;-1.779713231508954;-0.05781731571967155;-0.00238317599000501;477;[-1.779713231508954, -0.05781731571967155, -0.00238317599000501]
u:9c;0.32181294519829906;-0.12521344232997225;0.12634143842810647;258;[0.32181294519829906, -0.12521344232997225, 0.12634143842810647]
u:9gF;0.5775585955419555;-0.0500362126911853;-0.07553108262654734;208;[0.5775585955419555, -0.0500362126911853, -0.07553108262654734]
u:9l;0.9713754115499911;-0.10488505754251347;-0.227046053515039;246;[0.9713754115499911, -0.10488505754251347, -0.227046053515039]
u:9rx;-0.05998030200075087;-0.03173203820239382;-0.14696724879146034;387;[-0.05998030200075087, -0.03173203820239382, -0.14696724879146034]
u:A7G;-1.7767317889324525;0.048632376098214546;0.09566256505309251;201;[-1.7767317889324525, 0.048632376098214546, 0.09566256505309251]
u:AAI;-3.4419811009871455;0.1061917961327649;0.38249821286240016;333;[-3.4419811009871455, 0.1061917961327649, 0.38249821286240016]
u:AAz;-1.5735723533688584;-0.050479239908124106;0.30836279431605906;857;[-1.5735723533688584, -0.050479239908124106, 0.30836279431605906]
u:ACZ;-8.221154407486363;0.4520849099851395;0.7159371290973661;235;[-8.221154407486363, 0.4520849099851395, 0.7159371290973661]
u:ALG;0.2544703953279681;-0.06541819815769749;-0.10467889632516025;497;[0.2544703953279681, -0.06541819815769749, -0.10467889632516025]
u:ASj;-6.627468287277888;0.17997499986735865;-0.034554433361303746;1632;[-6.627468287277888, 0.17997499986735865, -0.034554433361303746]
u:A_H;1.1120036252004994;-0.14277572267559707;-0.16848273344640313;314;[1.1120036252004994, -0.14277572267559707, -0.16848273344640313]
u:AdA;-9.823625204511861;0.23147088082941664;-0.10170913782648863;441;[-9.823625204511861, 0.23147088082941664, -0.10170913782648863]
u:Anh;0.32085522700346114;-0.22863502571471833;0.2560866727740899;319;[0.32085522700346114, -0.22863502571471833, 0.2560866727740899]
u:Aqx;-0.8204288416217633;0.029881887766916696;-0.4549383168075722;253;[-0.8204288416217633, 0.029881887766916696, -0.4549383168075722]
u:Arp;-0.4996085983108147;0.023677031833875005;-0.07327128152106355;869;[-0.4996085983108147, 0.023677031833875005, -0.07327128152106355]
u:AvA;-2.06518947822393;0.020565785895399185;0.3342553983793406;1309;[-2.06518947822393, 0.020565785895399185, 0.3342553983793406]
u:B-V;-0.3791982610113958;-0.007909136866054451;-0.06537150003142521;843;[-0.3791982610113958, -0.007909136866054451, -0.06537150003142521]
u:B0j;-3.866756775061242;0.16894878955145307;0.5350361445871025;223;[-3.866756775061242, 0.16894878955145307, 0.5350361445871025]
u:B6-;-0.09644144192264845;-0.013154775817301742;-0.1930670067926235;367;[-0.09644144192264845, -0.013154775817301742, -0.1930670067926235]
u:BHu;0.10257540305383184;-0.12525720171260193;-0.004537340240195878;271;[0.10257540305383184, -0.12525720171260193, -0.004537340240195878]
u:BLI;-1.649261333216409;0.05771432869975449;0.10078507290588865;1287;[-1.649261333216409, 0.05771432869975449, 0.10078507290588865]
u:BTM;-2.5266708370247124;0.04128958309212621;0.39910552479119826;1408;[-2.5266708370247124, 0.04128958309212621, 0.39910552479119826]
u:BUC;-3.3288888696933956;-0.01745302232114007;0.8740463407698343;214;[-3.3288888696933956, -0.01745302232114007, 0.8740463407698343]
u:Bcs;-2.3114503486586506;0.013359855698869959;0.2740461268015825;372;[-2.3114503486586506, 0.013359855698869959, 0.2740461268015825]
u:BiP;-0.009182396697288764;-0.08885385905523363;-0.4375552955683193;532;[-0.009182396697288764, -0.08885385905523363, -0.4375552955683193]
u:Bpi;-0.4776001015339718;-0.14357757069982452;-0.1832403301239456;679;[-0.4776001015339718, -0.14357757069982452, -0.1832403301239456]
u:BqX;-0.5729587793425475;-0.07908260050624619;0.07594905314592837;375;[-0.5729587793425475, -0.07908260050624619, 0.07594905314592837]
u:BrX;-3.842197315822969;0.1699004621579055;0.2487116682583917;391;[-3.842197315822969, 0.1699004621579055, 0.2487116682583917]
u:BwX;-9.647803887346058;0.4615829290776746;0.7295816835864424;252;[-9.647803887346058, 0.4615829290776746, 0.7295816835864424]
u:Bz2;-1.0847492660723745;0.059454014907097084;-0.05538452106459476;810;[-1.0847492660723745, 0.059454014907097084, -0.05538452106459476]
u:Bz_;0.00038350010417840695;-0.006180105916323113;0.004392332153427924;284;[0.00038350010417840695, -0.006180105916323113, 0.004392332153427924]
u:C02;-4.163614029822401;0.17082579960372002;0.10455978496307963;450;[-4.163614029822401, 0.17082579960372002, 0.10455978496307963]
u:CD0;-1.835727377688699;0.037448802895370614;-0.5191127243960392;217;[-1.835727377688699, 0.037448802895370614, -0.5191127243960392]
u:COb;-3.446364412333873;0.057582479444761935;0.47867210209266536;337;[-3.446364412333873, 0.057582479444761935, 0.47867210209266536]
u:CVm;0.9896741104473059;-0.2095276471495898;0.03091919316477497;630;[0.9896741104473059, -0.2095276471495898, 0.03091919316477497]
u:CXf;-1.2732420367020936;-0.01482339518062844;0.4288797187094484;476;[-1.2732420367020936, -0.01482339518062844, 0.4288797187094484]
u:CZL;0.16868939544303008;-0.06935045362537885;-0.03556189040375514;245;[0.16868939544303008, -0.06935045362537885, -0.03556189040375514]
u:C_U;-1.9819444311111165;-0.024114211338144224;0.4842024756522844;252;[-1.9819444311111165, -0.024114211338144224, 0.4842024756522844]
u:CmM;-1.7100311921609883;0.02383537945736172;0.007809246454879459;270;[-1.7100311921609883, 0.02383537945736172, 0.007809246454879459]
u:Cwy;0.36673542638042844;-0.025950450556684344;-0.07989517363839244;304;[0.36673542638042844, -0.025950450556684344, -0.07989517363839244]
u:D-S;0.988145475157177;-0.06828201899855282;-0.31619669823252394;325;[0.988145475157177, -0.06828201899855282, -0.31619669823252394]
u:D67;0.09089817378738069;-0.12336768555620452;-0.01524103411843665;546;[0.09089817378738069, -0.12336768555620452, -0.01524103411843665]
u:D9e;-1.1815774018237999;0.0072834494040644425;0.11211218877676685;263;[-1.1815774018237999, 0.0072834494040644425, 0.11211218877676685]
u:DE5;-1.892639561175622;-0.05480100805279088;0.46342443511948117;446;[-1.892639561175622, -0.05480100805279088, 0.46342443511948117]
u:DHE;-2.456714325620606;-0.053749212194748146;0.6177565283542839;258;[-2.456714325620606, -0.053749212194748146, 0.6177565283542839]
u:DQu;-0.8395933373602138;-0.013245697456638658;0.21115537957370029;283;[-0.8395933373602138, -0.013245697456638658, 0.21115537957370029]
u:DXh;1.0491894325501079;-0.12043048043761406;-0.16439268453747055;390;[1.0491894325501079, -0.12043048043761406, -0.16439268453747055]
u:Ddh;-0.8595798818096914;-0.039032003295145314;0.16283285227178484;1148;[-0.8595798818096914, -0.039032003295145314, 0.16283285227178484]
u:Dga;-0.7987198269286204;-0.009464075137207782;0.03999654631081977;760;[-0.7987198269286204, -0.009464075137207782, 0.03999654631081977]
u:DhO;-1.3226556905036895;0.05138220050212551;0.26673549685359543;308;[-1.3226556905036895, 0.05138220050212551, 0.26673549685359543]
u:E4P;-5.512748557255989;0.07797486489731977;1.1545855039936146;316;[-5.512748557255989, 0.07797486489731977, 1.1545855039936146]
u:E6Q;-8.133291433825995;0.30736901697165175;0.2390643508248107;247;[-8.133291433825995, 0.30736901697165175, 0.2390643508248107]
u:E9V;-1.0038452581727957;-0.023731962179905537;0.16413976541305061;302;[-1.0038452581727957, -0.023731962179905537, 0.16413976541305061]
u:EBK;-0.8727775236039044;-0.022426416207724776;-0.32251335879494625;1312;[-0.8727775236039044, -0.022426416207724776, -0.32251335879494625]
u:EFm;-0.8913930461240918;0.0005931202199761553;-0.26794407988440605;420;[-0.8913930461240918, 0.0005931202199761553, -0.26794407988440605]
u:EPf;0.3697574785649742;-0.06128747185804981;-0.3682055323710608;274;[0.3697574785649742, -0.06128747185804981, -0.3682055323710608]
u:EUc;-1.226289045695088;0.009516789380405094;0.029295421709943315;409;[-1.226289045695088, 0.009516789380405094, 0.029295421709943315]
u:Ec1;-0.8847356882728526;-0.06712897108156254;0.5071961954192821;316;[-0.8847356882728526, -0.06712897108156254, 0.5071961954192821]
u:Ene;-1.417297149465729;-0.03579368782453811;0.20033332169247395;764;[-1.417297149465729, -0.03579368782453811, 0.20033332169247395]
u:EvT;0.9358629487272212;-0.06708051988119153;-0.42588300868404083;345;[0.9358629487272212, -0.06708051988119153, -0.42588300868404083]
u:EyD;-0.060184560188081604;0.005263022471614746;-0.24411978835865916;341;[-0.060184560188081604, 0.005263022471614746, -0.24411978835865916]
u:F2_;-3.4935142303702587;-0.11593589947705134;0.4048993730854883;218;[-3.4935142303702587, -0.11593589947705134, 0.4048993730854883]
u:F5S;-0.4736013088890392;-0.002208661863208873;-0.09051367846469215;266;[-0.4736013088890392, -0.002208661863208873, -0.09051367846469215]
u:FIi;-1.4026391936354998;0.011258743155555372;0.430700772364919;462;[-1.4026391936354998, 0.011258743155555372, 0.430700772364919]
