user_id,cluster_id,profile
u:-4V,1,REPETITION_BUILDER
u:-7F,3,FAST_BURNER
u:-AK,2,STEADY_RETAINER
u:-DF,2,STEADY_RETAINER
u:-Md,1,REPETITION_BUILDER
u:-NR,1,REPETITION_BUILDER
u:-TV,2,STEADY_RETAINER
u:-am,1,REPETITION_BUILDER
u:-b,1,REPETITION_BUILDER
u:-f2,1,REPETITION_BUILDER
u:-fk,1,REPETITION_BUILDER
u:-k,3,FAST_BURNER
u:-mt,1,REPETITION_BUILDER
u:-t7,2,STEADY_RETAINER
u:0Nx,2,STEADY_RETAINER
u:0Q_,1,REPETITION_BUILDER
u:0WM,1,REPETITION_BUILDER
u:14z,1,REPETITION_BUILDER
u:1EF,3,FAST_BURNER
u:1MS,2,STEADY_RETAINER
u:1Qq,2,STEADY_RETAINER
u:1Ub,2,STEADY_RETAINER
u:1Ul,1,REPETITION_BUILDER
u:2-U,1,REPETITION_BUILDER
u:286,2,STEADY_RETAINER
u:28D,1,REPETITION_BUILDER
u:2L3,3,FAST_BURNER
u:2Nd,3,FAST_BURNER
u:2P7,1,REPETITION_BUILDER
u:2R-,1,REPETITION_BUILDER
u:2U_,2,STEADY_RETAINER
u:2dt,1,REPETITION_BUILDER
u:2m9,2,STEADY_RETAINER
u:2mx,1,REPETITION_BUILDER
u:2sv,3,FAST_BURNER
u:2vP,1,REPETITION_BUILDER
u:3Y_,1,REPETITION_BUILDER
u:3Ym,1,REPETITION_BUILDER
u:3v0,1,REPETITION_BUILDER
u:4Ii,1,REPETITION_BUILDER
u:4OM,1,REPETITION_BUILDER
u:4VF,1,REPETITION_BUILDER
u:4aG,1,REPETITION_BUILDER
u:4jB,1,REPETITION_BUILDER
u:4pP,1,REPETITION_BUILDER
u:5Bl,1,REPETITION_BUILDER
u:5C7,1,REPETITION_BUILDER
u:5_s,1,REPETITION_BUILDER
u:5i9,1,REPETITION_BUILDER
u:5j2,1,REPETITION_BUILDER
u:5nU,2,STEADY_RETAINER
u:5rg,1,REPETITION_BUILDER
u:6AU,1,REPETITION_BUILDER
u:6L-,1,REPETITION_BUILDER
u:6NL,1,REPETITION_BUILDER
u:6YP,2,STEADY_RETAINER
u:6_4,1,REPETITION_BUILDER
u:6ed,1,REPETITION_BUILDER
u:6h_,2,STEADY_RETAINER
u:6i1,1,REPETITION_BUILDER
u:6k7,2,STEADY_RETAINER
u:6lP,3,FAST_BURNER
u:6p7,1,REPETITION_BUILDER
u:6xf,1,REPETITION_BUILDER
u:77c,1,REPETITION_BUILDER
u:77u,3,FAST_BURNER
u:77x,1,REPETITION_BUILDER
u:7HL,1,REPETITION_BUILDER
u:7Kr,1,REPETITION_BUILDER
u:7bj,2,STEADY_RETAINER
u:7fK,1,REPETITION_BUILDER
u:7my,1,REPETITION_BUILDER
u:8Hi,1,REPETITION_BUILDER
u:8Ll,1,REPETITION_BUILDER
u:8br,3,FAST_BURNER
u:8nF,2,STEADY_RETAINER
u:9HK,2,STEADY_RETAINER
u:9Iu,1,REPETITION_BUILDER
u:9JP,2,STEADY_RETAINER
u:9Ua,1,REPETITION_BUILDER
u:9_H,1,REPETITION_BUILDER
u:9c,2,STEADY_RETAINER
u:9gF,2,STEADY_RETAINER
u:9l,2,STEADY_RETAINER
u:9rx,1,REPETITION_BUILDER
u:A7G,1,REPETITION_BUILDER
u:AAI,3,FAST_BURNER
u:AAz,1,REPETITION_BUILDER
u:ACZ,3,FAST_BURNER
u:ALG,2,STEADY_RETAINER
u:ASj,3,FAST_BURNER
u:A_H,2,STEADY_RETAINER
u:AdA,3,FAST_BURNER
u:Anh,2,STEADY_RETAINER
u:Aqx,1,REPETITION_BUILDER
u:Arp,1,REPETITION_BUILDER
u:AvA,1,REPETITION_BUILDER
u:B-V,1,REPETITION_BUILDER
u:B0j,3,FAST_BURNER
u:B6-,1,REPETITION_BUILDER
u:BHu,2,STEADY_RETAINER
u:BLI,1,REPETITION_BUILDER
u:BTM,3,FAST_BURNER
u:BUC,3,FAST_BURNER
u:Bcs,1,REPETITION_BUILDER
u:BiP,2,STEADY_RETAINER
u:Bpi,2,STEADY_RETAINER
u:BqX,1,REPETITION_BUILDER
u:BrX,3,FAST_BURNER
u:BwX,3,FAST_BURNER
u:Bz2,1,REPETITION_BUILDER
u:Bz_,1,REPETITION_BUILDER
u:C02,3,FAST_BURNER
u:CD0,1,REPETITION_BUILDER
u:COb,3,FAST_BURNER
u:CVm,2,STEADY_RETAINER
u:CXf,1,REPETITION_BUILDER
u:CZL,2,STEADY_RETAINER
u:C_U,1,REPETITION_BUILDER
u:CmM,1,REPETITION_BUILDER
u:Cwy,1,REPETITION_BUILDER
u:D-S,2,STEADY_RETAINER
u:D67,2,STEADY_RETAINER
u:D9e,1,REPETITION_BUILDER
u:DE5,1,REPETITION_BUILDER
u:DHE,1,REPETITION_BUILDER
u:DQu,1,REPETITION_BUILDER
u:DXh,2,STEADY_RETAINER
u:Ddh,1,REPETITION_BUILDER
u:Dga,1,REPETITION_BUILDER
u:DhO,1,REPETITION_BUILDER
u:E4P,3,FAST_BURNER
u:E6Q,3,FAST_BURNER
u:E9V,1,REPETITION_BUILDER
u:EBK,1,REPETITION_BUILDER
u:EFm,1,REPETITION_BUILDER
u:EPf,2,STEADY_RETAINER
u:EUc,1,REPETITION_BUILDER
u:Ec1,1,REPETITION_BUILDER
u:Ene,1,REPETITION_BUILDER
u:EvT,2,STEADY_RETAINER
u:EyD,1,REPETITION_BUILDER
u:F2_,1,REPETITION_BUILDER
u:F5S,1,REPETITION_BUILDER
u:FIi,1,REPETITION_BUILDER
u:FNL,3,FAST_BURNER
u:FVX,1,REPETITION_BUILDER
u:FYi,2,STEADY_RETAINER
u:F_w,2,STEADY_RETAINER
u:Fb2,2,STEADY_RETAINER
u:Fcz,2,STEADY_RETAINER
u:Few,2,STEADY_RETAINER
u:FhU,1,REPETITION_BUILDER
u:FjG,2,STEADY_RETAINER
u:FxZ,1,REPETITION_BUILDER
u:G0b,2,STEADY_RETAINER
u:G7V,1,REPETITION_BUILDER
u:G9b,1,REPETITION_BUILDER
u:GB4,1,REPETITION_BUILDER
u:GFK,1,REPETITION_BUILDER
u:GLo,2,STEADY_RETAINER
u:GMT,1,REPETITION_BUILDER
